@relation 'Crime-51-US'

@attribute PoliceFunding numeric
@attribute 4yearHighschool numeric
@attribute noHighSchool numeric
@attribute inCollege numeric
@attribute 4yearCollege numeric
@attribute TotRepCrime numeric
@attribute RepViolentCrime numeric

@data
40,74,11,31,20,478,184
32,72,11,43,18,494,213
57,70,18,16,16,643,347
31,71,11,25,19,341,565
67,72,9,29,24,773,327
25,68,8,32,15,603,260
34,68,12,24,14,484,325
33,62,13,28,11,546,102
36,69,7,25,12,424,38
31,66,9,58,15,548,226
35,60,13,21,9,506,137
30,81,4,77,36,819,369
44,66,9,37,12,541,109
32,67,11,37,16,491,809
30,65,12,35,11,514,29
16,64,10,42,14,371,245
29,64,12,21,10,457,118
36,62,7,81,27,437,148
30,59,15,31,16,570,387
23,56,15,50,15,432,98
33,46,22,24,8,619,608
35,54,14,27,13,357,218
38,54,20,22,11,623,254
44,45,26,18,8,547,697
28,57,12,23,11,792,827
35,57,9,60,18,799,693
31,61,19,14,12,439,448
39,52,17,31,10,867,942
27,44,21,24,9,912,1017
36,43,18,23,8,462,216
38,48,19,22,10,859,673
46,57,14,25,12,805,989
29,47,19,25,9,652,630
32,50,19,21,9,776,404
39,48,16,32,11,919,692
44,49,13,31,14,732,1517
33,72,13,13,22,657,879
43,59,14,21,13,1419,631
22,49,9,46,13,989,1375
30,54,13,27,12,821,1139
86,62,22,18,15,1740,3545
30,47,17,39,11,815,706
32,45,34,15,10,760,451
43,48,26,23,12,936,433
20,69,23,7,12,863,601
55,42,23,23,11,783,1024
44,49,18,30,12,715,457
37,57,15,35,13,1504,1441
82,72,22,15,16,1324,1022
66,67,26,18,16,940,1244

