@relation 'hubarr-25-instances'

@attribute in1 numeric
@attribute in2 numeric
@attribute in3 numeric
@attribute in4 numeric
@attribute in5 numeric
@attribute HUB_MNT_FRONT_WALL_OUTER_RIM numeric
@attribute HUB_REG_FRONT_WALL_OUTER_RIM numeric
@attribute Frwd_hubwall_mount numeric
@attribute Frwd_hubwall_reg numeric
@attribute in6 numeric
@attribute Hubwebb_inner_ring_mount numeric
@attribute Hubwebb_inner_ring_reg numeric
@attribute Webb_mount numeric
@attribute WEBB_REGULAR numeric
@attribute Hub_Mount_Webbing_Base_Left numeric
@attribute Hub_Mount_Webbing_Base_right numeric
@attribute Hub_Reg_Webbing_Base_Left numeric
@attribute Hub_Reg_Webbing_Base_right numeric
@attribute Hubcone_mount numeric
@attribute Hubcone_reg numeric
@attribute Hubcone_mount_sheet numeric
@attribute Hubcone_reg_sheet numeric
@attribute Brg_flange_radial numeric
@attribute min_angle numeric
@attribute hub_surface numeric
@attribute angle_between numeric
@attribute mp1x numeric
@attribute mp1z numeric
@attribute mp2x numeric
@attribute mp2z numeric
@attribute mp3x numeric
@attribute mp3z numeric
@attribute mp4x numeric
@attribute mp4z numeric

@data
764.227,371.806,55.83,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,64.544,48.385,137.425,0.562,1.23,0.552,1.18,0.463,0.979,0.432,0.912
764.227,371.806,55.83,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,63.921,48.385,165.86,0.078,1.21,0.188,1.17,0.018,0.671,0.137,0.604
764.227,371.806,66.996,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,64.544,48.385,137.425,0.558,1.22,0.544,1.17,0.462,0.969,0.427,0.903
764.227,371.806,66.996,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,63.921,48.385,165.86,0.561,1.21,0.55,1.16,0.463,0.672,0.431,0.605
764.227,451.806,55.83,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.915,48.385,134.447,0.564,1.19,0.572,1.15,0.378,0.799,0.357,0.722
764.227,451.806,55.83,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.844,48.385,153.523,1.8,1.19,1.65,1.14,0.983,0.609,0.743,0.53
764.227,451.806,66.996,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.915,48.385,134.447,0.57,1.18,0.578,1.14,0.381,0.794,0.359,0.717
764.227,451.806,66.996,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.844,48.385,153.523,0.567,1.19,0.577,1.15,0.377,0.613,0.36,0.534
874.227,371.806,55.83,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,64.544,48.385,92.579,0.563,1.1,0.551,1.05,0.465,0.967,0.432,0.901
874.227,371.806,55.83,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,63.921,48.385,161.132,0.559,1.1,0.547,1.06,0.462,0.675,0.428,0.607
874.227,371.806,66.996,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,64.544,48.385,92.579,0.56,1.11,0.548,1.06,0.462,0.972,0.43,0.906
874.227,371.806,66.996,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,63.921,48.385,161.132,0.559,1.11,0.548,1.06,0.461,0.676,0.429,0.608
874.227,451.806,55.83,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.915,48.385,111.188,0.564,1.08,0.572,1.03,0.379,0.799,0.356,0.721
874.227,451.806,55.83,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.844,48.385,144.741,0.566,1.07,0.574,1.03,0.379,0.607,0.358,0.529
874.227,451.806,66.996,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.915,48.385,111.188,0.568,1.07,0.578,1.03,0.379,0.794,0.36,0.717
874.227,451.806,66.996,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.844,48.385,144.741,0.57,1.07,0.579,1.03,0.379,0.608,0.361,0.529
764.227,411.806,61.413,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,58.13,48.385,152.505,0.563,1.21,0.562,1.16,0.422,0.754,0.396,0.681
874.227,411.806,61.413,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,58.13,48.385,139.357,0.565,1.09,0.563,1.05,0.424,0.753,0.395,0.68
819.227,371.806,61.413,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,64.272,48.385,154.489,0.56,1.16,0.548,1.11,0.462,0.805,0.429,0.738
819.227,451.806,61.413,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,49.874,48.385,140.869,0.564,1.13,0.573,1.09,0.378,0.696,0.357,0.618
819.227,411.806,55.83,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,58.13,48.385,147.056,0.56,1.15,0.561,1.11,0.418,0.756,0.394,0.683
819.227,411.806,66.996,85,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,58.13,48.385,147.056,0.564,1.16,0.563,1.11,0.422,0.757,0.396,0.683
819.227,411.806,61.413,50,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,58.303,48.385,122.687,0.556,1.15,0.554,1.1,0.417,0.883,0.39,0.812
819.227,411.806,61.413,120,1,7.1,2,3.17,2,1,4.5,4.5,3,2,3,3,2,2,3.17,3.17,3.17,3.17,3.8,57.932,48.385,156.866,0.562,1.15,0.561,1.1,0.42,0.642,0.394,0.569
